date,open,high,low,close,prior_close
2019-08-21,1498.5400,1512.0800,1498.5400,1509.8500,1498.0100
2019-08-22,1510.8000,1516.4700,1500.3700,1506.0000,1509.8500
2019-08-23,1504.3000,1505.6801,1456.9000,1459.4900,1506.0000
2019-08-26,1461.5900,1476.3400,1461.5900,1476.0000,1459.4900
2019-08-27,1479.4600,1485.6700,1454.9100,1456.0400,1476.0000
2019-08-28,1455.9000,1478.0300,1450.3199,1472.7100,1456.0400
2019-08-29,1478.4800,1498.7800,1478.4800,1496.7200,1472.7100
2019-08-30,1499.0699,1504.4500,1488.3400,1494.8400,1496.7200
2019-09-03,1494.0300,1494.0300,1467.4700,1472.2800,1494.8400
2019-09-04,1475.3600,1487.9399,1475.3600,1484.7600,1472.2800
2019-09-05,1491.2700,1521.7900,1491.2700,1510.7500,1484.7600
2019-09-06,1511.5100,1517.0100,1504.9100,1505.1700,1510.7500
2019-09-09,1507.5300,1526.1000,1506.7700,1524.2300,1505.1700
2019-09-10,1523.5699,1543.6300,1516.5601,1541.6100,1524.2300
2019-09-11,1543.8700,1575.8300,1541.8800,1575.7100,1541.6100
2019-09-12,1575.8000,1580.7200,1562.8101,1575.0699,1575.7100
2019-09-13,1579.2300,1589.4500,1577.1100,1578.1400,1575.0699
2019-09-16,1574.7300,1590.5000,1570.5000,1584.6000,1578.1400
2019-09-17,1582.3700,1582.3700,1569.4100,1578.2900,1584.6000
2019-09-18,1577.5500,1577.5500,1557.1500,1568.3400,1578.2900
2019-09-19,1570.7600,1581.3500,1560.9200,1561.4700,1568.3400
2019-09-20,1561.6300,1570.0200,1554.2500,1559.7600,1561.4700
2019-09-23,1556.9200,1563.6400,1552.4500,1558.2500,1559.7600
2019-09-24,1559.4800,1562.6300,1530.3300,1533.5900,1558.2500
2019-09-25,1533.1400,1552.9399,1530.7000,1550.6500,1533.5900
2019-09-26,1549.5400,1549.5400,1531.0400,1533.3300,1550.6500
2019-09-27,1534.1200,1539.3700,1515.6400,1520.4800,1533.3300
2019-09-30,1521.4900,1530.6600,1518.3400,1523.3700,1520.4800
2019-10-01,1523.8500,1539.0900,1491.5500,1493.4301,1523.3700
2019-10-02,1493.0699,1493.0699,1469.0800,1479.6300,1493.4301
2019-10-03,1476.4399,1487.3500,1462.2200,1486.3500,1479.6300
2019-10-04,1486.5699,1500.7700,1482.0200,1500.7000,1486.3500
2019-10-07,1498.7100,1507.3300,1492.6100,1497.7900,1500.7000
2019-10-08,1494.6100,1494.6100,1472.5500,1472.6000,1497.7900
2019-10-09,1480.0000,1484.8300,1476.5100,1479.4600,1472.6000
2019-10-10,1480.7100,1491.5699,1480.7100,1485.3600,1479.4600
2019-10-11,1486.9600,1525.8300,1486.9600,1511.9000,1485.3600
2019-10-14,1507.3300,1508.6200,1499.9800,1505.4301,1511.9000
2019-10-15,1508.5400,1528.4200,1507.8000,1523.3000,1505.4301
2019-10-16,1521.4800,1529.6000,1520.4100,1525.0601,1523.3000
2019-10-17,1530.1801,1542.6600,1530.1801,1541.8400,1525.0601
2019-10-18,1539.2400,1540.7200,1525.4700,1535.4800,1541.8400
2019-10-21,1541.7300,1557.0200,1541.7300,1552.4100,1535.4800
2019-10-22,1550.7700,1557.8900,1547.3101,1550.8700,1552.4100
2019-10-23,1550.5900,1554.6801,1545.8900,1552.8600,1550.8700
2019-10-24,1556.6000,1557.3300,1544.8900,1548.4900,1552.8600
2019-10-25,1548.9900,1562.5601,1547.7800,1558.7100,1548.4900
2019-10-28,1563.5000,1576.9900,1563.5000,1571.9301,1558.7100
2019-10-29,1571.7600,1581.1300,1569.4600,1577.0699,1571.9301
2019-10-30,1575.6100,1575.6100,1562.0500,1572.8500,1577.0699
2019-10-31,1570.1899,1570.4800,1552.8700,1562.4500,1572.8500
2019-11-01,1569.2000,1589.3300,1569.2000,1589.3300,1562.4500
2019-11-04,1597.1000,1602.0601,1593.7400,1597.4000,1589.3300
2019-11-05,1598.9399,1608.8000,1597.9301,1599.6100,1597.4000
2019-11-06,1598.4200,1598.4200,1587.0200,1589.5400,1599.6100
2019-11-07,1598.2500,1607.4100,1590.3300,1593.9900,1589.5400
2019-11-08,1590.9600,1598.9301,1587.5000,1598.8600,1593.9900
2019-11-11,1592.7500,1595.4399,1588.3101,1594.7700,1598.8600
2019-11-12,1595.6200,1604.6400,1593.4100,1595.1200,1594.7700
2019-11-13,1588.2900,1591.8500,1581.0601,1589.1801,1595.1200
2019-11-14,1587.3500,1594.7100,1586.6801,1588.7900,1589.1801
2019-11-15,1594.0601,1598.2000,1591.0400,1596.4500,1588.7900
2019-11-18,1594.1100,1594.1100,1588.5500,1592.3400,1596.4500
2019-11-19,1594.9600,1602.9600,1592.0400,1598.2900,1592.3400
2019-11-20,1593.4399,1602.7100,1581.9800,1591.6100,1598.2900
2019-11-21,1594.1000,1595.6100,1581.0400,1583.9600,1591.6100
2019-11-22,1588.8900,1591.3101,1581.8101,1588.9399,1583.9600
2019-11-25,1594.4900,1623.9900,1594.4900,1621.9000,1588.9399
2019-11-26,1621.9000,1630.2800,1619.9500,1624.2300,1621.9000
2019-11-27,1626.8000,1634.7700,1626.8000,1634.1000,1624.2300
2019-11-29,1630.1600,1633.5900,1623.9200,1624.5000,1634.1000
2019-12-02,1626.5601,1627.3400,1606.6300,1607.5800,1624.5000
2019-12-03,1602.7600,1603.0800,1589.7300,1602.6300,1607.5800
2019-12-04,1607.6801,1618.3800,1607.6801,1613.9000,1602.6300
2019-12-05,1617.1700,1620.8400,1611.8000,1614.8300,1613.9000
2019-12-06,1620.9200,1637.9000,1620.9200,1633.8400,1614.8300
2019-12-09,1631.4700,1636.4399,1629.6200,1629.6200,1633.8400
2019-12-10,1629.1000,1633.7400,1626.3700,1631.7100,1629.6200
2019-12-11,1633.4301,1634.4301,1626.7400,1631.9301,1631.7100
2019-12-12,1631.8000,1654.0699,1629.8600,1644.8101,1631.9301
2019-12-13,1643.8300,1650.1899,1632.6500,1637.9800,1644.8101
2019-12-16,1647.2000,1658.6200,1647.2000,1649.9399,1637.9800
2019-12-17,1650.5900,1657.7000,1649.6300,1657.5601,1649.9399
2019-12-18,1660.4900,1663.3900,1654.7300,1661.7300,1657.5601
2019-12-19,1662.5200,1667.2300,1660.6200,1667.0900,1661.7300
2019-12-20,1670.6000,1674.4301,1668.8600,1671.9000,1667.0900
2019-12-23,1673.9800,1675.3101,1666.1899,1674.1400,1671.9000
2019-12-24,1676.2300,1678.0900,1673.7400,1678.0100,1674.1400
2019-12-26,1680.2200,1680.3600,1675.1000,1677.6700,1678.0100
2019-12-27,1681.2500,1681.6801,1666.4301,1669.0300,1677.6700
2019-12-30,1669.8800,1670.2200,1658.0500,1664.1500,1669.0300
2019-12-31,1660.0500,1673.3400,1659.8300,1668.4700,1664.1500
2020-01-02,1675.9000,1678.1400,1653.5200,1666.7700,1668.4700
2020-01-03,1655.0200,1664.0400,1648.5400,1660.8700,1666.7700
2020-01-06,1650.6600,1664.8500,1645.5100,1663.2600,1660.8700
2020-01-07,1659.7300,1662.1000,1653.3300,1658.3101,1663.2600
2020-01-08,1658.4700,1669.2900,1658.2300,1663.5900,1658.3101
2020-01-09,1669.8600,1671.8199,1663.7800,1664.9900,1663.5900
2020-01-10,1665.4700,1666.7500,1654.0100,1657.6400,1664.9900
2020-01-13,1658.9800,1669.6100,1652.3199,1669.6100,1657.6400
2020-01-14,1668.3900,1684.3400,1662.8600,1675.7400,1669.6100
2020-01-15,1673.6899,1688.1200,1673.4000,1682.4000,1675.7400
2020-01-16,1691.8199,1706.1700,1691.8199,1705.2200,1682.4000
2020-01-17,1712.9301,1715.0800,1697.6899,1699.6400,1705.2200
2020-01-21,1695.4500,1695.4500,1684.2600,1685.9000,1699.6400
2020-01-22,1691.0699,1694.3700,1682.9399,1684.4600,1685.9000
2020-01-23,1680.5400,1687.8500,1666.4700,1685.0100,1684.4600
2020-01-24,1687.8101,1689.1500,1653.1899,1662.2300,1685.0100
2020-01-27,1660.8199,1660.8199,1632.2600,1644.1400,1662.2300
2020-01-28,1651.1300,1661.1899,1651.1300,1658.3101,1644.1400
2020-01-29,1661.0800,1663.7700,1649.0000,1649.2200,1658.3101
2020-01-30,1641.4700,1648.4301,1630.9399,1648.2200,1649.2200
2020-01-31,1643.6899,1643.6899,1610.6400,1614.0601,1648.2200
2020-02-03,1618.8000,1636.8800,1618.8000,1632.2100,1614.0601
2020-02-04,1644.4200,1661.0000,1644.4200,1656.7700,1632.2100
2020-02-05,1667.9500,1682.9600,1667.3800,1681.9200,1656.7700
2020-02-06,1685.4399,1689.1700,1677.2900,1677.4600,1681.9200
2020-02-07,1673.5300,1673.5300,1654.3101,1656.7800,1677.4600
2020-02-10,1654.9200,1667.7000,1653.6700,1667.6700,1656.7800
2020-02-11,1674.5000,1686.0100,1674.0000,1677.5100,1667.6700
2020-02-12,1684.3900,1690.0601,1683.0200,1689.3800,1677.5100
2020-02-13,1684.5800,1696.5400,1680.3800,1693.7400,1689.3800
2020-02-14,1694.8700,1695.1700,1683.4700,1687.5800,1693.7400
